"","Actor","Score","Title","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Year","Gross"
"1","Johnny Depp",7.1,"Pirates of the Caribbean: At World's End","goddess","marriage ceremony","marriage proposal","pirate","singapore",2007,309404152
"2","Johnny Depp",7.3,"Pirates of the Caribbean: Dead Man's Chest","box office hit","giant squid","heart","liar's dice","monster",2006,423032628
"3","Leonardo DiCaprio",7.7,"Titanic","artist","love","ship","titanic","wet",1997,658672302
"4","Robert Downey Jr.",8.2,"Captain America: Civil War","based on comic book","knife","marvel cinematic universe","returning character killed off","superhero",2016,407197282
"5","J.K. Simmons",7.3,"Spider-Man 2","death","doctor","scientist","super villain","tentacle",2004,373377893
"6","Robert Downey Jr.",7.2,"Iron Man 3","armor","explosion","human bomb","missile attack","terrorist",2013,408992272
"7","Steve Buscemi",7.3,"Monsters University","cheating","fraternity","monster","singing in a car","university",2013,268488329
"8","Tom Hanks",8.3,"Toy Story 3","college","day care","escape","teddy bear","toy",2010,414984497
"9","Jason Statham",7.2,"Furious 7","car falling off a cliff","hospital","revenge","star died before release","terrorist",2015,350034110
"10","Leonardo DiCaprio",7.3,"The Great Gatsby","ingratitude","mansion","party","title appears in writing","tragedy",2013,144812796
"11","Christian Bale",9,"The Dark Knight","based on comic book","dc comics","psychopath","star died before release","urban setting",2008,533316061
"12","Robert Downey Jr.",7.9,"Iron Man","afghanistan","billionaire","inventor","playboy","u.s. air force",2008,318298180
"13","Tom Cruise",7.9,"Edge of Tomorrow","alien","combat","dying repeatedly","end of the world","time loop",2014,100189501
"14","Scarlett Johansson",7.8,"The Jungle Book","fire","jungle","remake","tiger","wolf",2016,362645141
"15","Robert Downey Jr.",7,"Iron Man 2","hammer","military","monaco","revenge","tony stark",2010,312057433
"16","Scarlett Johansson",7.8,"Captain America: The Winter Soldier","conspiracy","heroism","megalomaniac","super soldier","world domination",2014,259746958
"17","Gerard Butler",8.2,"How to Train Your Dragon","dragon","island","training","viking","village",2010,217387997
"18","Matthew McConaughey",8.6,"Interstellar","black hole","father daughter relationship","saving the world","space travel","wormhole",2014,187991439
"19","Leonardo DiCaprio",8.8,"Inception","ambiguous ending","corporate espionage","dream","subconscious","thief",2010,292568851
"20","Christian Bale",8.3,"Batman Begins","armored car","gangster","gotham","mixed martial arts","social decay",2005,205343774
"21","Tom Cruise",7.4,"Mission: Impossible - Rogue Nation","capture","computer hacker","mission","rogue agent","spy",2015,195000874
"22","J.K. Simmons",7.2,"Kung Fu Panda 3","china","kung fu","panda","pig","village",2016,143523463
"23","Tom Cruise",7.4,"Mission: Impossible - Ghost Protocol","dubai","kremlin","race against time","russian","terrorist",2011,209364921
"24","Hugh Jackman",7.3,"Rise of the Guardians","belief","box office hit","children","new york city","tooth",2012,103400692
"25","Tom Cruise",7.7,"The Last Samurai","captain","emperor","honor","japan","samurai",2003,111110575
"26","J.K. Simmons",7.3,"Spider-Man","evil","goblin","spider","spider man","superhero",2002,403706375
"27","Gerard Butler",7.9,"How to Train Your Dragon 2","dragon","father son relationship","husband wife relationship","mother son relationship","viking",2014,176997107
"28","Leonardo DiCaprio",8.1,"The Revenant","bear attack","cauterizing a wound","native american","revenge","survival",2015,183635922
"29","Johnny Depp",7.2,"Rango","chameleon","lizard","sheriff","water","western town",2011,123207194
"30","Matt Damon",8.1,"The Bourne Ultimatum","action hero","cia","dark past","flashback","memory",2007,227137090
"31","J.K. Simmons",7.3,"Megamind","battle","city","planet","prison","superhero",2010,148337537
"32","Johnny Depp",8.1,"Pirates of the Caribbean: The Curse of the Black Pearl","caribbean","curse","governor","pirate","undead",2003,305388685
"33","Hugh Jackman",7.5,"X-Men 2","mutant","prison","professor","school","x men",2003,214948780
"34","Robert Downey Jr.",7.5,"Sherlock Holmes: A Game of Shadows","factory","gypsy","investigation","sherlock holmes","train",2011,186830669
"35","Matt Damon",7.1,"Jason Bourne","black ops","chase","cia","cia agent","repeated scene",2016,108521835
"36","Morgan Freeman",7,"Oblivion","cabin in the woods","drone","flying through a thunderstorm","post apocalypse","sex in a pool",2013,89021735
"37","Steve Buscemi",8.1,"Monsters, Inc.","friend","little girl","monster","rival","scream",2001,289907418
"38","Leonardo DiCaprio",7.5,"The Aviator","1920s","aviation","fight","spruce goose","test flight",2004,102608827
"39","Hugh Jackman",7.1,"Real Steel","arena","boxing","boxing movie","robot","robot battle",2011,85463309
"40","Bruce Willis",7.2,"Live Free or Die Hard","fbi","hacker","independence day","police","terrorist",2007,134520804
"41","Liam Neeson",7.2,"Kingdom of Heaven","12th century","crusader","jerusalem","knight","medieval times",2005,47396698
"42","Matt Damon",8.1,"The Martian","astronaut","international cooperation","left for dead","nasa","space habitat",2015,228430993
"43","Tom Cruise",7.7,"Minority Report","future","murder","neo noir","washington d.c.","year 2054",2002,132014112
"44","Johnny Depp",7,"Public Enemies","1930s","bank","celebrity criminal","fbi","public enemy number one",2009,97030725
"45","Denzel Washington",7.8,"American Gangster","death","heroin","popcorn","smuggling","vietnam",2007,130127620
"46","Leonardo DiCaprio",8.5,"Django Unchained","dynamite","historically inaccurate","ku klux klan","n word","slavery",2012,162804648
"47","Leonardo DiCaprio",8,"Blood Diamond","diamond","elephant","fisherman","rebel","sierra leone",2006,57366262
"48","Leonardo DiCaprio",8.2,"The Wolf of Wall Street","based on true story","fellatio","female rear nudity","sex in an airplane","stockbroker",2013,116866727
"49","Tom Hanks",7.5,"Cloud Atlas","composer","future","letter","nonlinear timeline","nursing home",2012,27098580
"50","Leonardo DiCaprio",7.5,"Gangs of New York","butcher","civil war","gangster","new york city","revenge",2002,77679638
"51","Christian Bale",7.6,"The Flowers of War","abusive stepfather","attempted rape","food shortage","sexual abuse","starving child",2011,9213
"52","Tom Hanks",7.9,"Toy Story 2","collector","dog","friend","rescue","toy",1999,245823397
