num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
451,106,188,718,10000,179020854,268154,12572,1,341,816,6.8,1.85,40000
315,194,0,794,29000,658672302,793059,45223,0,2528,14000,7.7,2.35,26000
750,143,0,393,883,304360277,522030,2039,0,1498,563,7.8,2.35,80000
451,108,13000,11000,40000,334185206,306320,79957,0,736,25000,6.5,1.85,24000
378,165,0,808,974,245428137,242420,3988,2,918,956,5.7,2.35,56000
490,143,1000,77,29000,144812796,362912,29770,4,753,509,7.3,2.35,115000
575,131,0,919,16000,101785482,381148,19166,0,1106,968,7,1.85,83000
298,93,113,113,275,123070338,62836,696,0,345,150,6.8,2.35,20000
396,144,0,1000,34000,154985087,148379,49684,6,622,13000,7.3,2.35,54000
645,152,22000,11000,23000,533316061,1676169,57802,0,4667,13000,9,2.35,37000
418,123,452,329,10000,161087183,118992,11287,8,971,336,6.9,2.35,80000
585,113,218,509,10000,100189501,431620,12652,1,741,854,7.9,2.35,77000
370,106,4000,591,19000,362645141,106072,32921,0,398,13000,7.8,1.85,65000
653,121,571,3000,14000,333130696,682155,32438,3,1097,14000,8.1,2.35,96000
712,169,22000,6000,11000,187991439,928227,31488,1,2725,11000,8.6,2.35,349000
642,148,22000,23000,29000,292568851,1468200,81115,0,2803,27000,8.8,2.35,175000
362,166,21000,919,11000,127490802,459346,13333,2,822,1000,7.8,2.35,23000
362,166,21000,919,11000,127490802,459346,13333,2,822,1000,7.8,2.35,23000
275,123,0,648,3000,46978995,111609,5505,0,781,716,7.3,2.35,89000
323,104,508,558,10000,256386216,530870,13076,0,1413,1000,7.2,2.35,11000
276,115,13000,588,40000,206456431,320284,57844,3,1361,16000,6.7,1.85,0
185,105,189,1000,49000,177243721,130272,54039,2,209,3000,5.9,2.35,2000
245,129,0,233,309,139259759,364948,1062,0,2121,269,6.7,2.35,0
275,138,0,30,234,281492479,421818,534,0,2789,198,7.2,2.35,0
739,120,750,943,27000,153629485,552503,40025,0,1588,9000,8.1,2.35,191000
526,113,13000,16000,40000,79711678,199039,80849,7,479,17000,6.2,1.85,82000
465,131,188,641,10000,195000874,232187,21840,0,440,10000,7.4,2.35,47000
284,90,90,15,11000,165230261,182718,21015,0,209,10000,7.3,2.35,20000
310,124,14000,979,22000,133382309,256695,34817,0,871,10000,6.9,2.35,0
256,111,456,394,20000,34964818,39956,21393,4,186,548,5.8,2.35,24000
208,88,188,826,10000,190418803,270207,14823,2,606,3000,6.1,1.85,2000
432,133,663,690,10000,209364921,365104,21768,3,512,10000,7.4,2.35,35000
306,98,275,1000,7000,368049635,286877,11905,0,284,2000,7.5,1.85,56000
141,97,6,415,22000,107225164,27130,24350,0,126,1000,6.3,1.85,14000
39,45,,160,898,,49049,1430,0,110,372,7.5,16,14000
388,146,14000,979,25000,79883359,116159,46726,1,488,19000,7.2,2.35,28000
304,87,275,975,7000,251501645,385943,11608,0,296,2000,7.7,1.85,31000
322,137,11000,465,769,115603980,103589,2938,0,351,698,7.2,2.35,35000
324,129,456,0,2000,12802907,70886,2035,1,226,35,6.6,2.35,36000
316,123,456,286,19000,50921738,192930,20499,1,581,1000,7.8,1.85,12000
267,77,13000,973,40000,53337608,188785,60683,1,467,16000,7.4,1.85,0
111,105,13000,658,40000,56362352,357581,42330,0,588,967,7.9,1.85,16000
151,110,17,418,11000,56154094,44723,21852,0,130,10000,7.6,2.35,51000
454,114,77,305,19000,91121452,467613,20295,1,608,393,8.1,2.35,165000
221,107,92,358,11000,13766014,106111,17627,0,181,5000,7,2.35,49000
330,126,0,745,2000,25592632,220475,5371,0,1066,850,7.2,1.85,20000
331,95,464,11000,23000,32391374,376600,54075,43,494,17000,7.7,2.35,40000
201,117,125,168,10000,162586036,338383,11036,0,611,617,8,2.35,32000
522,93,0,355,15000,54696902,379462,16034,3,571,491,7.5,1.85,56000
201,128,395,161,283,15797907,68119,904,0,230,206,7.6,2.35,0
552,127,0,341,774,124976634,440084,2121,0,755,358,8,1.85,122000
490,138,17000,163,29000,127968405,786092,29585,0,964,223,8.1,2.35,53000
606,240,17000,4000,29000,116866727,780588,46057,3,1138,11000,8.2,2.35,138000
568,149,21000,625,835,167735396,569841,4348,0,1127,812,8.1,2.35,146000
214,112,43,1000,11000,42478175,93767,15327,1,209,2000,7.2,2.35,34000
669,108,0,1000,20000,106952327,551363,38072,1,1140,15000,8,2.35,106000
361,121,175,221,963,43247140,134625,2131,0,265,580,7.1,2.35,40000
579,108,84,361,16000,363024263,479047,18239,0,1058,805,8.1,2.35,117000
