num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
723,178,0,855,1000,760505847,886204,4834,3054,237000000,2009,936,7.9,1.78,33000
302,169,563,1000,40000,309404152,471220,48350,1238,300000000,2007,5000,7.1,2.35,0
602,148,0,161,11000,200074175,275868,11700,994,245000000,2015,393,6.8,2.35,85000
813,164,22000,23000,27000,448130642,1144337,106759,2701,250000000,2012,23000,8.5,2.35,164000
,,131,,131,,8,143,,,,12,7.1,,0
462,132,475,530,640,73058679,212204,1873,738,263700000,2012,632,6.6,2.35,24000
392,156,0,4000,24000,336530303,383056,46055,1902,258000000,2007,11000,6.2,2.35,0
324,100,15,284,799,200807262,294810,2036,387,260000000,2010,553,7.8,1.85,29000
635,141,0,19000,26000,458991599,462669,92000,1117,250000000,2015,21000,7.5,2.35,118000
375,153,282,10000,25000,301956980,321795,58753,973,250000000,2009,11000,7.5,2.35,10000
673,183,0,2000,15000,330249062,371639,24450,3018,250000000,2016,4000,6.9,2.35,197000
434,169,0,903,18000,200069408,240396,29991,2367,209000000,2006,10000,6.1,2.35,0
403,106,395,393,451,168368427,330784,2023,1243,200000000,2008,412,6.7,2.35,0
313,151,563,1000,40000,423032628,522040,48486,1832,225000000,2006,5000,7.3,2.35,5000
450,150,563,1000,40000,89289910,181792,45757,711,215000000,2013,2000,6.5,2.35,48000
733,143,0,748,15000,291021565,548573,20495,2536,225000000,2013,3000,7.2,2.35,118000
258,150,80,201,22000,141614023,149922,22697,438,225000000,2008,216,6.6,2.35,0
703,173,0,19000,26000,623279547,995415,87697,1722,220000000,2012,21000,8.1,1.85,123000
448,136,252,1000,40000,241063875,370704,54083,484,250000000,2011,11000,6.7,2.35,58000
451,106,188,718,10000,179020854,268154,12572,341,225000000,2012,816,6.8,1.85,40000
422,164,0,773,5000,255108370,354228,9152,802,250000000,2014,972,7.5,2.35,65000
599,153,464,963,15000,262030663,451803,28489,1225,230000000,2012,10000,7,2.35,56000
343,156,0,738,891,105219735,211765,3244,546,200000000,2010,882,6.7,2.35,17000
509,186,0,773,5000,258355354,483540,9152,951,225000000,2013,972,7.9,2.35,83000
