"","director","movies","years","gross","rating"
"1","Aaron Schneider","AvataråÊ",2009,760505847,7.9
"2","Aaron Seltzer","Pirates of the Caribbean: At World's EndåÊ",2007,309404152,7.1
"4","Adam Goldberg","The Dark Knight RisesåÊ",2012,448130642,8.5
"7","Adam McKay","TangledåÊ",2010,200807262,7.8
"8","Adam McKay","Avengers: Age of UltronåÊ",2015,458991599,7.5
"9","Adam McKay","Harry Potter and the Half-Blood PrinceåÊ",2009,301956980,7.5
"13","Adam Rifkin","Pirates of the Caribbean: Dead Man's CheståÊ",2006,423032628,7.3
"15","Adam Shankman","Man of SteelåÊ",2013,291021565,7.2
"17","Adam Shankman","The AvengersåÊ",2012,623279547,8.1
"20","Adam Shankman","The Hobbit: The Battle of the Five ArmiesåÊ",2014,255108370,7.5
"23","Adrian Lyne","The Hobbit: The Desolation of SmaugåÊ",2013,258355354,7.9
"25","Adrian Lyne","King KongåÊ",2005,218051260,7.2
"26","Adrienne Shelly","TitanicåÊ",1997,658672302,7.7
"27","Agnieszka Holland","Captain America: Civil WaråÊ",2016,407197282,8.2
"30","Akira Kurosawa","SkyfallåÊ",2012,304360277,7.8
"31","Akira Kurosawa","Spider-Man 2åÊ",2004,373377893,7.3
"32","Akiva Goldsman","Iron Man 3åÊ",2013,408992272,7.2
"35","Alan Cohn","Monsters UniversityåÊ",2013,268488329,7.3
"43","Alan Rudolph","Toy Story 3åÊ",2010,414984497,8.3
"45","Alan Taylor","Furious 7åÊ",2015,350034110,7.2
"47","Albert Brooks","X-Men: Days of Future PaståÊ",2014,233914986,8
"48","Albert Hughes","Star Trek Into DarknessåÊ",2013,228756232,7.8
"50","Albert Hughes","The Great GatsbyåÊ",2013,144812796,7.3
"55","Alejandro AmenÌÁbar","BraveåÊ",2012,237282182,7.2
"56","Alejandro G. IÌ±ÌÁrritu","Star Trek BeyondåÊ",2016,130468626,7.5
"57","Alejandro G. IÌ±ÌÁrritu","WALLåáEåÊ",2008,223806889,8.4
"64","Alex Craig Mann","X-Men: ApocalypseåÊ",2016,154985087,7.3
"65","Alex Garland","The Dark KnightåÊ",2008,533316061,9
"66","Alex Gibney","UpåÊ",2009,292979556,8.3
"68","Alex Kendrick","Iron ManåÊ",2008,318298180,7.9
"69","Alex Kendrick","HugoåÊ",2011,73820094,7.5
"74","Alex Proyas","Edge of TomorrowåÊ",2014,100189501,7.9
"77","Alex Zamm","Inside OutåÊ",2015,356454367,8.3
"78","Alexander Payne","The Jungle BookåÊ",2016,362645141,7.8
"82","Alexander Payne","Dawn of the Planet of the ApesåÊ",2014,208543795,7.6
"84","Alexandre Aja","Captain America: The Winter SoldieråÊ",2014,259746958,7.8
"87","Alexandre Aja","Big Hero 6åÊ",2014,222487711,7.9
"88","Alfonso CuarÌ_n","Wreck-It RalphåÊ",2012,189412677,7.8
"91","Alfonso CuarÌ_n","How to Train Your DragonåÊ",2010,217387997,8.2
"93","Alison Maclean","Guardians of the GalaxyåÊ",2014,333130696,8.1
"94","Alister Grierson","InterstellaråÊ",2014,187991439,8.6
"95","Allen Coulter","InceptionåÊ",2010,292568851,8.8
"97","Allison Anders","The Curious Case of Benjamin ButtonåÊ",2008,127490802,7.8
"98","Amy Heckerling","X-Men: First ClassåÊ",2011,146405371,7.8
"104","Andrew Adamson","WarcraftåÊ",2016,46978995,7.3
"108","Andrew Bergman","TransformersåÊ",2007,318759914,7.1
"110","Andrew Davis","Harry Potter and the Order of the PhoenixåÊ",2007,292000866,7.5
"111","Andrew Davis","Harry Potter and the Goblet of FireåÊ",2005,289994397,7.6
"113","Andrew Davis","I Am LegendåÊ",2007,256386216,7.2
"115","Andrew Dominik","RatatouilleåÊ",2007,206435493,8
"116","Andrew Douglas","Batman BeginsåÊ",2005,205343774,8.3
"121","Andrew Haigh","FrozenåÊ",2013,400736600,7.6
"122","Andrew Morahan","The Matrix ReloadedåÊ",2003,281492479,7.2
"123","Andrew Niccol","Thor: The Dark WorldåÊ",2013,206360018,7.1
"124","Andrew Niccol","Mad Max: Fury RoadåÊ",2015,153629485,8.1
"131","Andrey Konchalovskiy","Mission: Impossible - Rogue NationåÊ",2015,195000874,7.4
"135","Andrzej Bartkowiak","Kung Fu Panda 2åÊ",2011,165230261,7.3
"143","Andy Fickman","TroyåÊ",2004,133228348,7.2
"150","Andy Tennant","Kung Fu Panda 3åÊ",2016,143523463,7.2
"151","Andy Tennant","Mission: Impossible - Ghost ProtocolåÊ",2011,209364921,7.4
"152","Andy Tennant","Rise of the GuardiansåÊ",2012,103400692,7.3
"154","Andy Tennant","The Last SamuraiåÊ",2003,111110575,7.7
"156","Ang Lee","Star TrekåÊ",2009,257704099,8
"157","Ang Lee","Spider-ManåÊ",2002,403706375,7.3
"158","Ang Lee","How to Train Your Dragon 2åÊ",2014,176997107,7.9
"161","Ang Lee","WatchmenåÊ",2009,107503316,7.7
"169","Angelo Pizzo","Master and Commander: The Far Side of the WorldåÊ",2003,93926386,7.4
"174","Anne Fletcher","The RevenantåÊ",2015,183635922,8.1
"176","Anne Fletcher","RangoåÊ",2011,123207194,7.2
"178","Anne Fontaine","The Bourne UltimatumåÊ",2007,227137090,8.1
"179","Anne Fontaine","Kung Fu PandaåÊ",2008,215395021,7.6
"180","Anthony Bell","Ant-ManåÊ",2015,180191634,7.4
"181","Anthony Hemingway","The Hunger Games: Catching FireåÊ",2013,424645577,7.6
"189","Anthony Russo","The Adventures of TintinåÊ",2011,77564037,7.4
"190","Anthony Russo","Harry Potter and the Prisoner of AzkabanåÊ",2004,249358727,7.8
"195","Antoine Fuqua","MegamindåÊ",2010,148337537,7.3
"196","Antoine Fuqua","Harry Potter and the Sorcerer's StoneåÊ",2001,317557891,7.5
"198","Antoine Fuqua","Pirates of the Caribbean: The Curse of the Black PearlåÊ",2003,305388685,8.1
"202","Antonia Bird","X-Men 2åÊ",2003,214948780,7.5
"203","Antonio Banderas","Fast FiveåÊ",2011,209805005,7.3
"204","Antony Hoffman","Sherlock Holmes: A Game of ShadowsåÊ",2011,186830669,7.5
"206","Ari Sandel","Total RecallåÊ",1990,119412921,7.5
"215","Atom Egoyan","Life of PiåÊ",2012,124976634,8
"217","Atom Egoyan","Jason BourneåÊ",2016,108521835,7.1
"228","Barbet Schroeder","Star Wars: Episode III - Revenge of the SithåÊ",2005,380262555,7.6
"230","Barbra Streisand","Monsters, Inc.åÊ",2001,289907418,8.1
"233","Barry Levinson","The CroodsåÊ",2013,187165546,7.3
"237","Barry Levinson","GravityåÊ",2013,274084951,7.8
"243","Barry Levinson","The PatriotåÊ",2000,113330342,7.1
"247","Barry Sonnenfeld","The AviatoråÊ",2004,102608827,7.5
"254","Barry W. Blaustein","Real SteelåÊ",2011,85463309,7.1
"258","Baz Luhrmann","Live Free or Die HardåÊ",2007,134520804,7.2
"259","Baz Luhrmann","The Lord of the Rings: The Fellowship of the RingåÊ",2001,313837577,8.8
"263","Ben Affleck","I, RobotåÊ",2004,144795350,7.1
"264","Ben Affleck","Kingdom of HeavenåÊ",2005,47396698,7.2
"266","Ben Falcone","The Princess and the FrogåÊ",2009,104374107,7.1
"267","Ben Lewin","The MartianåÊ",2015,228430993,8.1
"271","Ben Stiller","GladiatoråÊ",2000,187670866,8.5
"272","Ben Stiller","Minority ReportåÊ",2002,132014112,7.7
"273","Ben Wheatley","Harry Potter and the Chamber of SecretsåÊ",2002,261970615,7.4
"274","Ben Younger","Casino RoyaleåÊ",2006,167007184,8
"276","Benh Zeitlin","Terminator 2: Judgment DayåÊ",1991,204843350,8.5
"278","Bennett Miller","American GangsteråÊ",2007,130127620,7.8
"279","Bennett Miller","True LiesåÊ",1994,146282411,7.2
"284","Betty Thomas","Django UnchainedåÊ",2012,162804648,8.5
"286","Betty Thomas","The Emperor's New GrooveåÊ",2000,89296573,7.3
"295","Bill Duke","Blood DiamondåÊ",2006,57366262,8
"296","Bill Paxton","The Wolf of Wall StreetåÊ",2013,116866727,8.2
"298","Bille August","Starship TroopersåÊ",1997,54700065,7.2
"299","Bille Woodruff","Cloud AtlasåÊ",2012,27098580,7.5
"303","Billy Ray","Treasure PlanetåÊ",2002,38120554,7.1
"311","Bob Clark","The Peanuts MovieåÊ",2015,130174897,7.2
"312","Bob Clark","The Spanish PrisoneråÊ",1997,10200000,7.3
"314","Bob Dolman","Gangs of New YorkåÊ",2002,77679638,7.5
"315","Bob Odenkirk","The Flowers of WaråÊ",2011,9213,7.6
"318","Bob Spiers","Black Hawk DownåÊ",2001,108638745,7.7
"320","Bobby Farrelly","The Fifth ElementåÊ",1997,63540020,7.7
"326","Bobby Farrelly","Finding NemoåÊ",2003,380838870,8.2
"327","Bobby Farrelly","The Lord of the Rings: The Return of the KingåÊ",2003,377019252,8.9
"328","Bonnie Hunt","The Lord of the Rings: The Two TowersåÊ",2002,340478898,8.7
"333","Brad Anderson","Rise of the Planet of the ApesåÊ",2011,176740650,7.6
"337","Brad Bird","The IncrediblesåÊ",2004,261437578,8
"340","Brad Furman","Men in BlackåÊ",1997,250147615,7.3
"341","Brad Furman","Toy Story 2åÊ",1999,245823397,7.9
"347","Brad Silberling","The Secret Life of Walter MittyåÊ",2013,58229120,7.3
"349","Bradley Parker","The DepartedåÊ",2006,132373442,8.5
"350","Brandon Camp","MulanåÊ",1998,120618403,7.5
"352","Breck Eisner","The Girl with the Dragon TattooåÊ",2011,102515793,7.8
"353","Breck Eisner","Die Hard with a VengeanceåÊ",1995,100012500,7.6
"354","Breck Eisner","Sherlock HolmesåÊ",2009,209019489,7.6
"357","Brett Leonard","ValkyrieåÊ",2008,83077470,7.1
"360","Brett Ratner","A.I. Artificial IntelligenceåÊ",2001,78616689,7.1
"362","Brett Ratner","ContactåÊ",1997,100853835,7.4
"378","Brian De Palma","Cinderella ManåÊ",2005,61644321,8
"380","Brian De Palma","SeabiscuitåÊ",2003,120147445,7.3
"383","Brian Helgeland","Cast AwayåÊ",2000,233630478,7.7
